rank,player_name,team,position,age,total_contract_value,total_contract_value_millions,year
1718,Spencer Ware,KC,RB,,"$360,000",0.36,2015
1719,E.J. Gaines,STL,CB,,"$359,918",0.359918,2015
1720,Jared Abbrederis,GB,WR,,"$358,235",0.358235,2015
1721,Jude Adjei-Barimah,TB,CB,,"$358,235",0.358235,2015
1722,Dion Bailey,NYJ,SS,,"$358,235",0.358235,2015
1723,Tyreek Burwell,SD,T,,"$358,235",0.358235,2015
1724,Anthony Chickillo,PIT,ED,,"$358,235",0.358235,2015
1725,Ryan Delaire,CAR,ED,,"$358,235",0.358235,2015
1726,Quinton Dunbar,WAS,CB,,"$358,235",0.358235,2015
1727,Deshazor Everett,WAS,SS,,"$358,235",0.358235,2015
1728,David Irving,DAL,DL,,"$358,235",0.358235,2015
1729,Brian Peters,HOU,LB,,"$358,235",0.358235,2015
1730,Will Tye,NYG,TE,,"$358,235",0.358235,2015
1731,Tyler Varga,IND,RB,,"$354,411",0.354411,2015
1732,Jeff Adams,HOU,G,,"$353,823",0.353823,2015
1733,Marquis Flowers,CIN,LB,,"$352,670",0.35267,2015
1734,Shaun Draughn,SF,RB,,"$349,411",0.349411,2015
1735,JaCorey Shepherd,PHI,CB,,"$348,277",0.348277,2015
1736,Brandon Harris,TEN,CB,,"$348,000",0.348,2015
1737,Kyle Williams,DEN,WR,,"$348,000",0.348,2015
1738,A.J. Derby,NE,TE,,"$346,013",0.346013,2015
1739,Silas Redd,WAS,RB,,"$345,666",0.345666,2015
1740,James Wright,CIN,WR,,"$345,456",0.345456,2015
1741,Jordan Zumwalt,PIT,LB,,"$344,213",0.344213,2015
1742,Charles Godfrey,ATL,SS,,"$344,117",0.344117,2015
1743,Joe Mays,SD,LB,,"$344,117",0.344117,2015
1744,T.J. Yates,HOU,QB,,"$344,117",0.344117,2015
1745,Reshard Cliett,HOU,ED,,"$343,075",0.343075,2015
1746,Carlos Thompson,HOU,ED,,"$339,480",0.33948,2015
1747,Kenneth Boatright,DAL,ED,,"$339,000",0.339,2015
1748,Khyri Thornton,DET,DL,,"$338,411",0.338411,2015
1749,Andre Debose,OAK,WR,,"$337,253",0.337253,2015
1750,Tenny Palepoi,SD,DL,,"$337,166",0.337166,2015
1751,Josh Wells,JAX,RT,,"$334,000",0.334,2015
1752,Joshua Mitchell,IND,CB,,"$333,666",0.333666,2015
1753,Carter Bykowski,MIN,LT,,"$333,000",0.333,2015
1754,Anthony Denham,HOU,TE,,"$333,000",0.333,2015
1755,Ka'lial Glaud,DAL,LB,,"$333,000",0.333,2015
1756,Collin Mooney,ATL,FB,,"$333,000",0.333,2015
1757,Senorise Perry,CHI,RB,,"$333,000",0.333,2015
1758,Allen Reisner,BAL,TE,,"$333,000",0.333,2015
1759,Ryan Robinson,SEA,ED,,"$333,000",0.333,2015
1760,Mohammed Seisay,SEA,CB,,"$333,000",0.333,2015
1761,Lawrence Virgil,NO,ED,,"$333,000",0.333,2015
1762,Chris Boswell,PIT,K,,"$332,647",0.332647,2015
