rank,player_name,team,position,total_contract_value,total_contract_value_millions,year
553,Jerry Jeudy,DEN,WR,"$2,762,359",2.762359,2020
554,Carlos Hyde,SEA,RB,"$2,750,000",2.75,2020
555,Danny Shelton,DET,DL,"$2,750,000",2.75,2020
556,Demar Dotson,DEN,RT,"$2,734,375",2.734375,2020
557,Spencer Pulley,NYG,C,"$2,725,000",2.725,2020
558,Josh Jacobs,LV,RB,"$2,712,136",2.712136,2020
559,Bradley Pinion,TB,P,"$2,700,000",2.7,2020
560,Mike Hughes,MIN,CB,"$2,691,132",2.691132,2020
561,Marquise Brown,BAL,WR,"$2,678,941",2.678941,2020
562,John Simon,NE,ED,"$2,675,000",2.675,2020
563,Kendall Lamm,CLE,RT,"$2,650,000",2.65,2020
564,Montez Sweat,WAS,DL/DE,"$2,645,741",2.645741,2020
565,Jon Bostic,WAS,LB,"$2,635,000",2.635,2020
566,Jake Elliott,PHI,K,"$2,629,000",2.629,2020
567,Sony Michel,NE,RB,"$2,625,462",2.625462,2020
568,Johnathan Abram,LV,FS,"$2,612,544",2.612544,2020
569,A.J. Terrell,ATL,CB,"$2,601,045",2.601045,2020
570,Tress Way,WAS,P,"$2,600,000",2.6,2020
571,Chris Boswell,PIT,K,"$2,598,333",2.598333,2020
572,Jerry Tillery,LAC,DL,"$2,595,945",2.595945,2020
573,Lamar Jackson,BAL,QB,"$2,583,176",2.583176,2020
574,Matthew Slater,NE,WR,"$2,575,000",2.575,2020
575,CeeDee Lamb,DAL,WR,"$2,547,275",2.547275,2020
576,Logan Thomas,WAS,TE,"$2,535,000",2.535,2020
577,Cameron Erving,DAL,G,"$2,500,000",2.5,2020
578,L.J. Fort,BAL,LB,"$2,500,000",2.5,2020
579,Leonard Fournette,TB,RB,"$2,500,000",2.5,2020
580,Denzelle Good,LV,RT,"$2,500,000",2.5,2020
581,Robert Griffin III,BAL,QB,"$2,500,000",2.5,2020
582,Mike Iupati,SEA,G,"$2,500,000",2.5,2020
583,Senio Kelemete,HOU,G,"$2,500,000",2.5,2020
584,Adrian Phillips,NE,FS,"$2,500,000",2.5,2020
585,MyCole Pruitt,TEN,TE,"$2,500,000",2.5,2020
586,Wes Schweitzer,WAS,G,"$2,500,000",2.5,2020
587,Tahir Whitehead,CAR,LB,"$2,500,000",2.5,2020
588,Daryl Williams,BUF,G,"$2,500,000",2.5,2020
589,L.J. Collier,SEA,ED/DE,"$2,462,745",2.462745,2020
590,Devon Kennard,ARI,ED,"$2,453,125",2.453125,2020
591,Karl Joseph,CLE,SS,"$2,431,250",2.43125,2020
592,Austin Jackson,MIA,LT,"$2,430,651",2.430651,2020
593,K’Lavon Chaisson,JAX,LB/OLB,"$2,426,293",2.426293,2020
594,Bryan Anger,HOU,P,"$2,416,666",2.416666,2020
595,Chris Jones,DAL,P,"$2,400,000",2.4,2020
596,Craig Robertson,NO,LB,"$2,400,000",2.4,2020
597,Lane Taylor,GB,G,"$2,400,000",2.4,2020
598,B.J. Goodson,CLE,LB,"$2,390,625",2.390625,2020
599,Justin Jefferson,MIN,WR,"$2,385,964",2.385964,2020
600,Christian Jones,DET,LB,"$2,382,500",2.3825,2020
601,Larry Ogunjobi,CLE,DL/DT,"$2,378,391",2.378391,2020
602,Ahkello Witherspoon,SF,CB,"$2,376,393",2.376393,2020
603,Matt Schaub,ATL,QB,"$2,375,000",2.375,2020
604,Damon Arnette,LV,CB,"$2,365,617",2.365617,2020
605,Dan Feeney,LAC,G,"$2,364,158",2.364158,2020
606,Jalen Reagor,PHI,WR,"$2,363,438",2.363438,2020
607,Kenneth Murray,LAC,LB/ILB,"$2,359,080",2.35908,2020
608,Rodney McLeod,PHI,FS,"$2,350,000",2.35,2020
609,Fabian Moreau,WAS,CB,"$2,339,348",2.339348,2020
610,Xavier Su'a-Filo,CIN,G,"$2,333,333",2.333333,2020
611,Kaleb McGary,ATL,RT,"$2,333,123",2.333123,2020
612,Chris Godwin,TB,WR,"$2,331,041",2.331041,2020
613,Isaac Seumalo,PHI,G,"$2,326,000",2.326,2020
614,Tyeler Davison,ATL,DL,"$2,323,333",2.323333,2020
615,Shaquill Griffin,SEA,CB,"$2,322,655",2.322655,2020
616,John Johnson,LAR,FS,"$2,322,438",2.322438,2020
617,Jourdan Lewis,DAL,CB,"$2,321,357",2.321357,2020
618,Bashaud Breeland,KC,CB,"$2,318,013",2.318013,2020
619,Kenny Golladay,DET,WR,"$2,312,706",2.312706,2020
620,Jonnu Smith,TEN,TE,"$2,309,572",2.309572,2020
621,Cesar Ruiz,NO,G,"$2,305,310",2.30531,2020
622,Dede Westbrook,JAX,WR,"$2,302,039",2.302039,2020
623,Joe Haeg,TB,RT,"$2,300,000",2.3,2020
624,Marcedes Lewis,GB,TE,"$2,300,000",2.3,2020
625,Rayshawn Jenkins,LAC,S,"$2,298,553",2.298553,2020
626,Carl Lawson,CIN,ED/DE,"$2,296,155",2.296155,2020
627,N'Keal Harry,NE,WR,"$2,295,079",2.295079,2020
628,Josh Reynolds,LAR,WR,"$2,295,006",2.295006,2020
629,Samson Ebukam,LAR,ED,"$2,286,272",2.286272,2020
630,Brandon Aiyuk,SF,WR,"$2,278,426",2.278426,2020
631,Deatrich Wise,NE,ED/DE,"$2,278,140",2.27814,2020
632,Jamaal Williams,GB,RB,"$2,274,498",2.274498,2020
633,Kevin King,GB,CB,"$2,253,010",2.25301,2020
634,Jordan Love,GB,QB,"$2,251,537",2.251537,2020
635,Adrian Clayborn,CLE,ED/DE,"$2,250,000",2.25,2020
636,Colt McCoy,NYG,QB,"$2,250,000",2.25,2020
637,Marlon Mack,IND,RB,"$2,237,912",2.237912,2020
638,Cedric Ogbuehi,SEA,RT,"$2,237,500",2.2375,2020
639,Andrew Sendejo,CLE,FS,"$2,234,375",2.234375,2020
640,Cam Robinson,JAX,LT,"$2,233,053",2.233053,2020
641,Jordyn Brooks,SEA,LB/OLB,"$2,224,656",2.224656,2020
642,Patrick Queen,BAL,LB/ILB,"$2,211,213",2.211213,2020
643,Damontae Kazee,ATL,SS,"$2,205,230",2.20523,2020
644,Jeremy Sprinkle,WAS,TE,"$2,202,128",2.202128,2020
645,Jayon Brown,TEN,LB,"$2,200,889",2.200889,2020
646,Anthony Walker Jr.,IND,LB/ILB,"$2,199,354",2.199354,2020
647,Matt Milano,BUF,LB/OLB,"$2,198,378",2.198378,2020
648,Aaron Jones,GB,RB,"$2,183,487",2.183487,2020
649,Davon Godchaux,MIA,DL,"$2,183,485",2.183485,2020
650,Sam Tevi,LAC,RT,"$2,173,450",2.17345,2020
651,Xavier Woods,DAL,FS,"$2,172,972",2.172972,2020
652,Beau Allen,NE,DL,"$2,150,000",2.15,2020
653,Dan Bailey,MIN,K,"$2,150,000",2.15,2020
654,Sam Koch,BAL,P,"$2,150,000",2.15,2020
655,Christopher Carson,SEA,RB,"$2,149,283",2.149283,2020
656,Vince Biegel,MIA,ED,"$2,133,000",2.133,2020
657,Cethan Carter,CIN,TE,"$2,133,000",2.133,2020
658,Dylan Cole,HOU,LB,"$2,133,000",2.133,2020
659,Julie'n Davenport,MIA,LT,"$2,133,000",2.133,2020
660,Jermaine Eluemunor,NE,G,"$2,133,000",2.133,2020
661,Matt Haack,MIA,P,"$2,133,000",2.133,2020
662,Brian Hill,ATL,RB,"$2,133,000",2.133,2020
663,Al-Quadin Muhammad,IND,ED/DE,"$2,133,000",2.133,2020
664,David Sharpe,WAS,RT,"$2,133,000",2.133,2020
665,Matt Skura,BAL,C,"$2,133,000",2.133,2020
666,Brandon Wilson,CIN,CB,"$2,133,000",2.133,2020
667,Chris Wormley,PIT,DL/DT,"$2,133,000",2.133,2020
668,Nick Vannett,DEN,TE,"$2,125,000",2.125,2020
669,Forrest Lamp,LAC,G,"$2,121,293",2.121293,2020
670,Tyler Larsen,CAR,C,"$2,116,668",2.116668,2020
671,Marcus Maye,NYJ,FS,"$2,085,378",2.085378,2020
672,Derek Watt,PIT,FB,"$2,083,333",2.083333,2020
673,Alex Erickson,CIN,WR,"$2,066,668",2.066668,2020
674,Curtis Samuel,CAR,WR,"$2,053,441",2.053441,2020
675,Noah Igbinoghene,MIA,CB,"$2,046,220",2.04622,2020
676,Will Hernandez,NYG,G,"$2,032,020",2.03202,2020
677,Matt Barkley,BUF,QB,"$2,025,000",2.025,2020
678,A'Shawn Robinson,LAR,DL/DT,"$2,023,529",2.023529,2020
679,Nick Chubb,CLE,RB,"$2,013,571",2.013571,2020
680,Brennan Scarlett,HOU,ED,"$2,003,125",2.003125,2020
681,Justin Bethel,NE,CB,"$2,000,000",2.0,2020
682,De'Vondre Campbell,ARI,LB,"$2,000,000",2.0,2020
683,Cody Core,NYG,WR,"$2,000,000",2.0,2020
684,Chase Daniel,DET,QB,"$2,000,000",2.0,2020
685,Nate Ebner,NYG,SS,"$2,000,000",2.0,2020
686,Ben Garland,SF,C,"$2,000,000",2.0,2020
