rank,player_name,team,position,age,total_contract_value,total_contract_value_millions,year
1455,Nick Bellore,WAS,FB,,"$930,278",0.930278,2024
1456,Khaleke Hudson,CLE,LB/ILB,,"$930,278",0.930278,2024
1457,Julian Okwara,ARI,LB/OLB,,"$930,278",0.930278,2024
1458,Lonnie Johnson,CAR,CB,,"$930,274",0.930274,2024
1459,Brandon Parker,ATL,RT,,"$930,274",0.930274,2024
1460,Kyle Peko,DET,DL/DT,,"$930,274",0.930274,2024
1461,Austin Seibert,WAS,K,,"$930,274",0.930274,2024
1462,Corliss Waitman,PIT,P,,"$930,274",0.930274,2024
1463,Braelon Allen,NYJ,RB,,"$927,177",0.927177,2024
1464,Jacob Cowing,SF,WR,,"$927,177",0.927177,2024
1465,Jaden Hicks,KC,S,,"$927,177",0.927177,2024
1466,Sione Vaki,DET,RB,,"$927,177",0.927177,2024
1467,Starling Thomas V,ARI,CB,,"$925,080",0.92508,2024
1468,Travis Vokolek,ARI,TE,,"$925,080",0.92508,2024
1469,Tyson Bagent,CHI,QB,,"$923,333",0.923333,2024
1470,Chuma Edoga,DAL,LT,,"$922,779",0.922779,2024
1471,Ronnie Hickman,CLE,S,,"$921,666",0.921666,2024
1472,Hunter Luepke,DAL,FB,,"$921,666",0.921666,2024
1473,Ivan Pace,MIN,LB/ILB,,"$921,666",0.921666,2024
1474,Xavier Gipson,NYJ,WR,,"$920,000",0.92,2024
1475,Cam Jones,KC,LB/OLB,,"$920,000",0.92,2024
1476,Jaleel McLaughlin,DEN,RB,,"$920,000",0.92,2024
1477,Ryan Van Demark,BUF,LT,,"$919,500",0.9195,2024
1478,Alec Anderson,BUF,G,,"$919,250",0.91925,2024
1479,Julian Hill,MIA,TE,,"$919,166",0.919166,2024
1480,Ja'Marcus Ingram,BUF,CB,,"$918,750",0.91875,2024
1481,Nate Adkins,DEN,TE,,"$918,333",0.918333,2024
1482,T.J. Bass,DAL,G,,"$918,333",0.918333,2024
1483,Jake Bobo,SEA,WR,,"$918,333",0.918333,2024
1484,Christian Izien,TB,S,,"$918,333",0.918333,2024
1485,Eli Ricks,PHI,CB,,"$918,333",0.918333,2024
1486,Brenton Cox Jr.,GB,LB/OLB,,"$918,000",0.918,2024
1487,Malik Heath,GB,WR,,"$918,000",0.918,2024
1488,Chris Stoll,SEA,LS,,"$917,166",0.917166,2024
1489,Sean Tucker,TB,RB,,"$916,666",0.916666,2024
1490,Alex Ward,LAR,LS,,"$916,666",0.916666,2024
1491,Blake Grupe,NO,K,,"$915,833",0.915833,2024
1492,Markees Watts,TB,ED/OLB,,"$915,333",0.915333,2024
1493,Brandon Aubrey,DAL,K,,"$915,000",0.915,2024
1494,Ethan Bonner,MIA,CB,,"$915,000",0.915,2024
1495,Thomas Booker,PHI,DL/DT,,"$915,000",0.915,2024
1496,Nick Broeker,HOU,G,,"$915,000",0.915,2024
1497,Jake Browning,CIN,QB,,"$915,000",0.915,2024
1498,Mike Caliendo,KC,G,,"$915,000",0.915,2024
1499,Irvin Charles,NYJ,WR,,"$915,000",0.915,2024
1500,Claudin Cherelus,CAR,LB/ILB,,"$915,000",0.915,2024
